iso3_i,country_i,iso3_j,country_j,col,cor,cnl,cal,csl,lpn,lpa,lps,bpn,bpa,bps
ABW,Aruba,ABW,Aruba,1.0,1.0,0.5226572496219071,0.8170315322515305,1.6631225668608365,0.0134681937555485,0.1010760486858775,0.2022843855473376,0.0358927822756248,0.3988894064210523,0.6947598397229849
ABW,Aruba,AFG,Afghanistan,0.0,0.0,0.0,,,0.0390585675221684,,,0.1483195964660263,,
ABW,Aruba,AGO,Angola,0.0,0.0,0.0,0.0,0.0,0.0764735482891663,0.1824595491074495,0.663155223169812,0.1091355223064083,0.2331096346518338,0.8643758381958133
ABW,Aruba,AIA,Anguilla,1.0,1.0,0.0062116123524216,0.3694274714861306,0.4805826398978867,0.1891463966516123,0.1126956770159888,0.3707875458303148,0.5409938226148994,0.4447454396523845,1.160778795410239
ABW,Aruba,ALA,Aland Islands,0.0,0.0,0.0,,,0.0721752315695122,,,0.1851874096902084,,
ABW,Aruba,ALB,Albania,0.0,0.0,0.0,0.0,0.0,0.0651257845057948,0.0587781422133099,0.387025997101946,0.217259211747174,0.0867259514797485,1.1763493572763772
ABW,Aruba,AND,Andorra,0.0,0.0,0.0598266053717684,0.3363055188350489,0.765841305704745,0.1037760400606471,0.4279971079852514,1.113563994055587,0.1748090241695335,0.751690678431092,1.8214340583142363
ABW,Aruba,ANT,Netherlands Antilles,1.0,1.0,0.3359979641896596,,,0.0665157958792237,,,0.1830465763928618,,
ABW,Aruba,ARE,United Arab Emirates,1.0,1.0,0.0001803836187099,,,0.0108770968883421,,,0.0411497989365557,,
ABW,Aruba,ARG,Argentina,0.0,0.0,0.1463670735379637,0.0438090451298912,0.9403271381270288,0.0252505242775943,0.0090014568206424,0.1207461540875929,0.0885480117380079,0.035523606381464,0.4059384057936961
ABW,Aruba,ARM,Armenia,0.0,0.0,0.0,0.0,0.0,0.072696672714251,0.1547016946120125,0.5444458279609286,0.2259311785201048,0.4773469202158801,1.7109360703821428
ABW,Aruba,ASM,American Samoa,1.0,1.0,0.0031638883159035,0.4716805975544221,0.488428887079893,0.00254664036094,0.1438884987704478,0.2271928753807064,0.0058943562171028,0.5678456826476603,0.7685338627142655
ABW,Aruba,ATG,Antigua and Barbuda,1.0,1.0,0.0457306630295868,0.0068807710576924,0.2826409034467521,0.1236557766459404,0.00209901323694,0.1966142924908051,0.3348811863667751,0.0082836058100669,0.6209991745883208
ABW,Aruba,AUS,Australia,1.0,1.0,0.0702989055234734,0.0799477020410178,0.5105424069309394,0.061565204630309,0.021995624644555,0.2236942765856072,0.1444371892154863,0.0865168978503716,0.734435636006672
ABW,Aruba,AUT,Austria,0.0,0.0,0.0006860080511062,0.3042765790898832,0.3691941865215362,0.0901098781963296,0.1967142918623602,0.6635181982523708,0.1895694892108485,0.5217761631099633,1.5798776323543011
ABW,Aruba,AZE,Azerbaijan,0.0,0.0,2.4559442104936424e-05,0.0,0.0001473566526296,0.0025502397972044,0.1158706381991525,0.1582584181764323,0.0086638794513115,0.4153377569772886,0.5639859701219436
ABW,Aruba,BDI,Burundi,0.0,0.0,0.0,0.0,0.0,1.800332682771568e-05,0.05205658396723,0.0632015026135539,2.973727323388369e-05,0.0768084292109717,0.0952022585355706
ABW,Aruba,BEL,Belgium,1.0,1.0,0.0289066565347945,0.1593868599871086,0.2262739686113304,0.0992654234936219,0.3088823530225567,0.9351005674680388,0.1818983871718835,0.6057440671423812,1.7564364822569412
ABW,Aruba,BEN,Benin,0.0,0.0,0.0,0.0,0.0,0.0002094203650078,0.2258354605959785,0.274935513088548,0.0003459133233858,0.3332156216672395,0.4141433465231005
ABW,Aruba,BFA,Burkina Faso,0.0,0.0,0.0,0.0,0.0,0.001641749614237,0.1839355597794069,0.2323328687724385,0.0027117852898738,0.2713931715456123,0.3499697463591795
ABW,Aruba,BGD,Bangladesh,0.0,0.0,0.0,0.0020433101595225,0.002451972191427,0.0478170099995827,0.0210849449798391,0.2600561563514949,0.1818416026940833,0.0807376532810527,0.9932140793643424
ABW,Aruba,BGR,Bulgaria,0.0,0.0,2.598129920302626e-05,0.1069271503543061,0.1284337275117369,0.0485752382574619,0.1288036317205868,0.4068021073676355,0.179025168144051,0.4156543602574361,1.4073182453177824
ABW,Aruba,BHR,Bahrain,1.0,1.0,0.0010695052797158,,,0.0111728614344847,,,0.0409501856220819,,
